timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 08:47:50.232, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.40 W, 0x0000000000000001
2026/09/24 08:47:50.483, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.40 W, 0x0000000000000001
2026/09/24 08:47:50.738, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.38 W, 0x0000000000000001
2026/09/24 08:47:50.991, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.38 W, 0x0000000000000001
2026/09/24 08:47:51.246, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.41 W, 0x0000000000000001
2026/09/24 08:47:51.497, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.41 W, 0x0000000000000001
2026/09/24 08:47:51.750, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.48 W, 0x0000000000000001
2026/09/24 08:47:52.008, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.48 W, 0x0000000000000001
2026/09/24 08:47:52.261, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.35 W, 0x0000000000000001
2026/09/24 08:47:52.512, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.35 W, 0x0000000000000001
2026/09/24 08:47:52.774, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.35 W, 0x0000000000000001
2026/09/24 08:47:53.027, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.34 W, 0x0000000000000001
2026/09/24 08:47:53.279, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.34 W, 0x0000000000000001
2026/09/24 08:47:53.549, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.38 W, 0x0000000000000001
2026/09/24 08:47:53.817, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.38 W, 0x0000000000000001
2026/09/24 08:47:54.083, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.36 W, 0x0000000000000001
2026/09/24 08:47:54.345, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.36 W, 0x0000000000000001
2026/09/24 08:47:54.606, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.42 W, 0x0000000000000001
